Name,Score,Email,Date,
Winner,305,a@a.com,10/26/21,
Winner,305,a@a.com,10/5/21,
Winner,305,a@a.com,10/5/21,
Winner,305,a@a.com,10/5/21,
Winner,305,a@a.com,10/5/21,
Winner,305,a@a.com,10/5/21,
Winner,305,a@a.com,10/5/21,
Winner,305,a@a.com,10/5/21,
Test,10,a@a.com,10/5/21,
Winner,305,a@a.com,10/5/21,
Test3,20,a@a.com,10/5/21,
Test4,55,a@a.com,9/26/21,
Test2,100,a@a.com,10/5/21,
Test2,100,a@a.com,10/5/21,
Winner,305,b@b.com,10/5/21,
Winner,305,b@b.com,10/5/21,
Winner,305,b@b.com,10/5/21,
